42,48,-6
48,58,-10
52,41,11
46,52,-6
44,43,1
34,36,-2
40,50,-10
33,47,-14
53,45,8
39,43,-4
31,52,-21
50,47,3
49,39,10
47,39,8
72,36,36
62,39,23
47,35,12
56,30,26
30,44,-14
50,35,15
49,53,-4
58,43,15
57,55,2
37,47,-10
45,46,-1
27,35,-8
39,48,-9
42,37,5
33,31,2
42,61,-19
39,47,-8
26,49,-23
39,32,7
48,50,-2
37,20,17
45,66,-21
58,67,-9
50,53,-3
46,57,-11
46,42,4
49,32,17
57,47,10
53,46,7
47,60,-13
44,64,-20
55,51,4
59,92,-33
46,66,-20
32,60,-28
33,42,-9
34,51,-17
24,34,-10
54,44,10
26,44,-18
32,33,-1
25,31,-6
19,33,-14
25,27,-2
35,26,9
36,23,13
20,56,-36
28,50,-22
35,62,-27
20,46,-26
30,46,-16
36,47,-11
26,36,-10
22,46,-24
21,37,-16
31,35,-4
20,33,-13
24,40,-16
26,39,-13
29,41,-12
18,87,-69
16,20,-4
20,27,-7
15,18,-3
16,30,-14
14,34,-20
20,29,-9
19,32,-13
15,38,-23
21,50,-29
12,45,-33
21,74,-53
28,33,-5
20,46,-26
14,28,-14
21,35,-14
15,39,-24
